Industry Code,2005-1,2005-2,2005-3,2005-4,2006-1,2006-2,2006-3,2006-4,2007-1,2007-2,2007-3,2007-4,2008-1,2008-2,2008-3,2008-4,2009-1,2009-2,2009-3,2009-4,2010-1,2010-2,2010-3,2010-4,2011-1,2011-2,2011-3,2011-4,2012-1,2012-2,2012-3,2012-4,2013-1,2013-2,2013-3,2013-4,2014-1,2014-2,2014-3,2014-4,2015-1,2015-2,2015-3,2015-4,2016-1,2016-2,2016-3,2016-4,2017-1,2017-2,2017-3,2017-4,2018-1,2018-2,2018-3,2018-4,2019-1,2019-2,2019-3,2019-4,2020-1,2020--2,2020-3,2020-4,2021-1,2021-2,2021-3,2021-4,2022-1,2022-2,2022-3,2022-4,2023-1,2023-2,2023-3,2023-4,2024-1,2024-2,2024-3
623,150,153.6,156.4,159.5,162.1,162.8,163.8,164.2,168.6,170.5,174.4,177.1,180.4,182.3,181.3,181.8,181.9,186.3,188.4,189.9,191.7,195,195.5,200.7,199.4,202,203.8,202.4,206.7,208,210.6,210.6,211.5,211.9,213.9,217.7,215.4,217.6,223.7,228.2,227.1,230.3,232.5,234.2,234.4,239.9,240.8,243.3,240.1,239.6,245.1,250.8,245.9,249.5,252.4,253.1,262.5,259.6,261.6,261.4,262,255.6,252.3,258.1,254.7,263.3,265.2,272.4,275.8,281.3,291.3,295.8,307.3,314.5,316.7,329.9,340.2,342.3,350.7
624,113.4,115.6,117.6,121,122.5,123,125,127.3,129.4,132.6,135.6,138.5,141.3,144.2,146.7,149.5,151.5,153,155.4,154.3,162,162,165,161.9,160.6,164.7,163.6,169.4,169.8,169.1,168.3,171.5,173.6,172.5,177.8,175.1,178.6,181.2,188,190.5,192.7,194.1,196,198.9,201.7,206.9,213.8,214.2,222.6,223.4,225.9,226,230.3,232,237.1,245.9,241.3,247,252,251.2,254.9,235.5,257.7,267.9,267.7,274.8,281.6,291.7,293.3,299.2,311.6,313.3,323.8,330.4,339.9,345.4,349.6,354.7,354.7
7,829.7,849.9,861.6,878.3,899.2,905.2,914.1,931,940.8,951.3,959.4,971.8,975.2,983,985.4,970.6,956.7,950.4,960,953.5,959.4,977,984.2,996.3,1003,1029.9,1042.2,1045,1070.9,1088.4,1102,1113,1121.5,1127.8,1143.7,1175.1,1183.4,1204,1227.8,1254.7,1280.7,1308.4,1313.7,1335.2,1351,1359.7,1377.2,1404.7,1430.5,1444.7,1461.7,1475,1498.2,1535.3,1556,1552.7,1569.9,1592.9,1629,1657,1526.5,897.5,1279.7,1292.4,1387,1627.2,1785.4,1826.4,1842,1985.1,2029.4,2088.8,2164,2160.4,2191.9,2238.1,2264.8,2288.8,2307.8
71,194.5,199.5,203.4,210.7,216.7,220,223.9,230.3,236.5,240.4,243.2,246.1,246.7,248.6,248.8,246.3,240.9,240,251,244.6,242.5,246.3,244,250.8,248.4,257.2,253.7,249.3,256.2,263.4,268.5,270.2,268.9,270.8,277.7,287.5,290.9,289.3,293.3,298,306.3,313.1,310.3,316.8,319.5,320.4,327.5,342.9,342.6,349.9,362.4,355.1,363.1,375,380,379,393.3,390.5,397.8,405.2,380,203.7,277.1,304.3,325.2,369.1,416.5,441.7,444.1,472.8,486.5,504.7,518.6,518.9,513.4,519.9,540.7,561.4,568.5
711AS,101.8,104.7,107.8,111.3,113.7,115.1,116.8,120.2,124.2,126.1,127.1,129.2,130.3,131.5,132.2,133.2,129.6,131.4,138,134,131.2,133.2,133.9,138,132.9,138.9,138.8,135.8,140.9,143.8,147,147.4,146.5,147.4,150.2,160.4,165.2,160.6,161.1,162.9,170,176.3,173.6,176.5,177.5,177.5,184.6,192.7,193.9,196.6,205.8,199.7,200.8,217.3,218.4,212.1,226.5,220.5,224.3,226.2,213,113.1,135.4,159.4,165,187.1,226.6,249.3,246.3,261.7,268.4,277.7,291.5,284.7,271.9,275.4,295.2,313.4,320.9
713,92.7,94.8,95.6,99.4,103,104.9,107,110.1,112.3,114.4,116,116.9,116.3,117.2,116.6,113.2,111.3,108.6,113,110.6,111.3,113.1,110.2,112.8,115.5,118.3,114.9,113.5,115.4,119.6,121.5,122.8,122.5,123.4,127.5,127.1,125.7,128.7,132.2,135.1,136.4,136.7,136.7,140.3,142,142.9,142.8,150.2,148.7,153.4,156.6,155.3,162.3,157.8,161.6,166.9,166.8,170,173.5,179,167,90.6,141.7,144.9,160.2,182,190,192.5,197.8,211.1,218,227,227.1,234.2,241.5,244.5,245.6,248,247.5
72,635.2,650.4,658.1,667.7,682.5,685.2,690.3,700.7,704.3,710.9,716.2,725.7,728.5,734.3,736.6,724.3,715.8,710.3,709.1,708.8,716.9,730.7,740.2,745.5,754.6,772.7,788.5,795.7,814.6,825,833.5,842.7,852.6,856.9,866.1,887.5,892.5,914.6,934.5,956.7,974.4,995.4,1003.4,1018.4,1031.5,1039.3,1049.7,1061.7,1087.9,1094.8,1099.3,1119.9,1135.1,1160.3,1175.9,1173.7,1176.6,1202.4,1231.2,1251.8,1146.4,693.8,1002.6,988.1,1061.8,1258.1,1368.8,1384.7,1397.9,1512.3,1542.9,1584,1645.4,1641.5,1678.5,1718.1,1724.1,1727.3,1739.3
721,172.7,175.5,178.5,182.7,187.2,187.7,185.8,188.8,190.6,192,191.8,196.9,198.1,200.9,200.3,192.9,184.1,180.9,182.1,180.7,181.1,185.7,187.8,188.1,192,197.1,201.5,204.3,206.7,215.5,217.2,220.5,220.7,223.7,227.4,232.3,236.9,241.4,246.8,251.5,256.3,257.8,259.5,260.9,265,268.3,272,271.9,280.3,281.6,283.9,285.9,289.3,301,297.6,304,305.1,306.2,307.7,306.9,268,103.5,181.7,176.8,189.9,233.2,277.8,292.7,302.6,332.6,343.9,361.7,376.9,364.5,373.4,383.3,396.4,391.8,385.9
722,462.5,474.9,479.6,485,495.4,497.5,504.5,511.8,513.7,518.9,524.4,528.8,530.5,533.4,536.3,531.4,531.7,529.4,527,528.2,535.8,545.1,552.4,557.4,562.6,575.5,586.9,591.4,607.9,609.5,616.3,622.2,631.8,633.2,638.7,655.2,655.7,673.3,687.6,705.1,718.1,737.6,744,757.5,766.5,771,777.7,789.8,807.6,813.2,815.4,834,845.8,859.3,878.3,869.8,871.5,896.2,923.5,944.8,878.4,590.3,820.8,811.3,871.9,1025,1091,1091.9,1095.3,1179.7,1199,1222.3,1268.5,1276.9,1305.1,1334.8,1327.6,1335.5,1353.4
81,494.2,494.1,496.4,504.2,509.8,518.5,526.8,538.4,534.9,530.4,539.1,540.6,548.7,557.3,553.8,541.9,528.8,517.4,515.5,523.8,529.7,533.3,536.3,540,541.9,546.4,554.6,551.9,566.7,573.9,576.8,586.7,576.9,585.4,589.8,596.7,606.6,619.6,634.2,645.4,640.5,653.3,651.6,657.2,669.4,675.5,687.2,696.5,700.7,705,710.6,719.3,723.7,737.6,746.1,757.9,770.8,762.7,780.2,793.4,776,647.4,737.5,745.9,748,789.5,827.8,852.9,880.4,891.1,951.9,985.9,1007.3,1011.9,1008.3,1038.6,1061.6,1083.5,1111.3
